session_id,user_id,device,session_date,total_events,total_value,pages_viewed,session_duration_seconds,had_purchase,had_signup,had_upgrade
U000030_S0001,U000030,desktop,2025-10-13,4,0.0,4,270,False,False,False
U000030_S0002,U000030,desktop,2025-11-23,1,0.0,1,27,False,False,False
U000030_S0003,U000030,desktop,2025-11-26,2,0.0,2,268,False,False,False
U000031_S0001,U000031,tablet,2025-11-06,1,0.0,1,68,False,False,False
U000031_S0002,U000031,tablet,2025-11-07,1,0.0,1,8,False,False,False
U000031_S0003,U000031,tablet,2025-11-12,15,0.0,11,525,False,False,False
U000031_S0004,U000031,tablet,2025-11-13,8,0.0,6,159,False,False,False
U000031_S0005,U000031,tablet,2025-11-14,3,0.0,2,48,False,False,False
U000031_S0006,U000031,tablet,2025-11-14,5,0.0,5,82,False,False,False
U000031_S0007,U000031,tablet,2025-11-16,7,0.0,5,375,False,False,False
U000031_S0008,U000031,tablet,2025-11-17,2,0.0,2,49,False,False,False
U000031_S0009,U000031,tablet,2025-11-25,2,0.0,2,77,False,False,False
U000031_S0010,U000031,tablet,2025-11-27,1,0.0,1,7,False,False,False
U000031_S0011,U000031,tablet,2025-12-02,5,0.3,4,53,False,False,False
U000031_S0012,U000031,tablet,2025-12-08,3,0.0,2,347,False,False,False
U000031_S0013,U000031,tablet,2025-12-16,7,0.5,5,5,False,True,False
U000031_S0014,U000031,tablet,2025-12-28,11,0.0,8,1420,False,False,False
U000032_S0001,U000032,mobile,2025-10-25,1,0.0,1,0,False,False,False
U000032_S0002,U000032,mobile,2025-11-20,6,0.3,6,279,False,False,False
U000032_S0003,U000032,mobile,2025-11-20,3,0.0,3,80,False,False,False
U000032_S0004,U000032,mobile,2025-12-05,1,0.0,1,34,False,False,False
U000032_S0005,U000032,mobile,2025-12-07,11,0.0,8,15,False,False,False
U000033_S0001,U000033,mobile,2025-10-08,6,0.0,6,149,False,False,False
U000033_S0002,U000033,mobile,2025-10-13,1,0.0,1,40,False,False,False
U000033_S0003,U000033,mobile,2025-10-20,1,0.0,1,2,False,False,False
U000033_S0004,U000033,mobile,2025-10-20,2,0.0,2,31,False,False,False
U000033_S0005,U000033,desktop,2025-11-07,3,0.0,3,1,False,False,False
U000033_S0006,U000033,mobile,2025-11-13,2,0.0,2,135,False,False,False
U000033_S0007,U000033,mobile,2025-12-05,17,0.5,10,1315,False,True,False
U000034_S0001,U000034,desktop,2025-11-03,1,0.0,1,75,False,False,False
U000034_S0002,U000034,mobile,2025-11-06,3,0.0,3,74,False,False,False
U000034_S0003,U000034,mobile,2025-11-17,2,0.0,2,141,False,False,False
U000034_S0004,U000034,tablet,2025-11-22,1,0.0,1,9,False,False,False
U000034_S0005,U000034,mobile,2025-12-20,6,0.0,5,61,False,False,False
U000034_S0006,U000034,desktop,2025-12-28,2,0.0,2,17,False,False,False
U000035_S0001,U000035,tablet,2025-10-24,4,0.0,4,39,False,False,False
U000037_S0001,U000037,desktop,2025-11-11,4,0.0,4,47,False,False,False
U000037_S0002,U000037,tablet,2025-11-12,4,0.0,4,14,False,False,False
U000037_S0003,U000037,tablet,2025-11-15,8,0.09999999999999998,5,110,False,False,False
U000037_S0004,U000037,tablet,2025-11-23,7,0.0,5,334,False,False,False
U000037_S0005,U000037,tablet,2025-11-27,16,0.0,11,144,False,False,False
U000037_S0006,U000037,tablet,2025-11-28,9,0.0,8,536,False,False,False
U000037_S0007,U000037,desktop,2025-11-30,1,0.0,1,28,False,False,False
U000037_S0008,U000037,tablet,2025-12-09,3,0.0,3,28,False,False,False
U000037_S0009,U000037,tablet,2025-12-12,4,0.0,4,195,False,False,False
U000037_S0010,U000037,tablet,2025-12-16,5,0.0,5,0,False,False,False
U000037_S0011,U000037,tablet,2025-12-17,1,0.0,1,45,False,False,False
U000037_S0012,U000037,tablet,2025-12-20,1,0.0,1,15,False,False,False
U000037_S0013,U000037,tablet,2025-12-29,15,0.0,10,150,False,False,False
U000037_S0014,U000037,tablet,2025-12-30,23,0.0,12,1604,False,False,False
U000038_S0001,U000038,mobile,2025-11-13,4,0.0,4,10,False,False,False
U000038_S0002,U000038,mobile,2025-11-26,1,0.0,1,71,False,False,False
U000038_S0003,U000038,desktop,2025-11-26,7,0.0,6,59,False,False,False
U000038_S0004,U000038,mobile,2025-12-04,2,0.0,2,25,False,False,False
U000040_S0001,U000040,desktop,2025-11-15,1,0.0,1,10,False,False,False
U000040_S0002,U000040,desktop,2025-11-16,7,0.0,4,102,False,False,False
U000040_S0003,U000040,desktop,2025-11-26,14,0.3,8,225,False,False,False
U000040_S0004,U000040,desktop,2025-12-03,5,0.0,4,26,False,False,False
U000040_S0005,U000040,mobile,2025-12-27,3,0.0,3,34,False,False,False
U000041_S0001,U000041,mobile,2025-11-03,9,38.02,6,156,True,False,False
U000041_S0002,U000041,mobile,2025-11-11,3,0.0,3,232,False,False,False
U000041_S0003,U000041,mobile,2025-12-03,4,0.0,3,37,False,False,False
U000041_S0004,U000041,mobile,2025-12-09,2,0.0,2,3,False,False,False
U000042_S0001,U000042,tablet,2025-11-26,2,0.0,2,69,False,False,False
U000043_S0001,U000043,desktop,2025-10-18,1,0.0,1,0,False,False,False
U000043_S0002,U000043,desktop,2025-10-21,3,0.0,3,105,False,False,False
U000043_S0003,U000043,desktop,2025-10-22,1,0.0,1,17,False,False,False
U000043_S0004,U000043,tablet,2025-10-25,13,0.0,7,26,False,False,False
U000043_S0005,U000043,desktop,2025-10-25,4,348.0,4,22,False,False,True
U000043_S0006,U000043,tablet,2025-10-26,2,0.0,2,68,False,False,False
U000043_S0007,U000043,tablet,2025-11-13,1,0.0,1,14,False,False,False
U000043_S0008,U000043,desktop,2025-11-15,4,0.0,3,113,False,False,False
U000043_S0009,U000043,tablet,2025-11-20,5,0.0,5,220,False,False,False
U000043_S0010,U000043,desktop,2025-11-23,4,0.0,3,161,False,False,False
U000043_S0011,U000043,desktop,2025-11-30,8,0.0,6,210,False,False,False
U000043_S0012,U000043,desktop,2025-12-03,6,0.0,6,157,False,False,False
U000043_S0013,U000043,desktop,2025-12-06,6,0.5,5,51,False,True,False
U000043_S0014,U000043,mobile,2025-12-06,11,0.3,7,161,False,False,False
U000043_S0015,U000043,mobile,2025-12-07,1,0.0,1,16,False,False,False
U000043_S0016,U000043,desktop,2025-12-17,1,0.0,1,12,False,False,False
U000043_S0017,U000043,desktop,2025-12-24,2,0.0,2,93,False,False,False
U000043_S0018,U000043,mobile,2025-12-28,2,0.0,2,34,False,False,False
U000044_S0001,U000044,mobile,2025-11-14,5,0.0,5,169,False,False,False
U000044_S0002,U000044,tablet,2025-12-17,3,0.0,3,31,False,False,False
U000045_S0001,U000045,mobile,2025-10-15,3,0.0,3,239,False,False,False
U000045_S0002,U000045,mobile,2025-10-17,2,-0.2,2,8,False,False,False
U000045_S0003,U000045,mobile,2025-10-24,2,0.0,2,21,False,False,False
U000045_S0004,U000045,mobile,2025-10-27,3,0.0,3,118,False,False,False
U000045_S0005,U000045,mobile,2025-11-23,2,0.0,2,49,False,False,False
U000045_S0006,U000045,mobile,2025-11-27,6,0.0,5,32,False,False,False
U000045_S0007,U000045,mobile,2025-12-07,6,0.0,4,399,False,False,False
U000045_S0008,U000045,mobile,2025-12-14,1,0.0,1,54,False,False,False
U000046_S0001,U000046,mobile,2025-11-14,2,0.0,1,3,False,False,False
U000046_S0002,U000046,mobile,2025-11-18,12,0.0,8,170,False,False,False
U000046_S0003,U000046,mobile,2025-11-24,8,0.0,7,175,False,False,False
U000046_S0004,U000046,desktop,2025-11-28,1,0.0,1,40,False,False,False
U000046_S0005,U000046,desktop,2025-12-03,2,0.0,2,151,False,False,False
U000046_S0006,U000046,mobile,2025-12-14,3,0.0,3,261,False,False,False
U000046_S0007,U000046,mobile,2025-12-19,4,0.0,4,91,False,False,False
U000046_S0008,U000046,mobile,2025-12-23,3,0.0,3,10,False,False,False
U000047_S0001,U000047,mobile,2025-10-22,1,0.0,1,29,False,False,False
U000047_S0002,U000047,tablet,2025-10-25,3,0.0,3,85,False,False,False
U000047_S0003,U000047,mobile,2025-11-03,1,0.0,1,3,False,False,False
U000048_S0001,U000048,tablet,2025-12-21,2,0.0,2,13,False,False,False
U000049_S0001,U000049,tablet,2025-11-07,1,0.0,1,2,False,False,False
U000049_S0002,U000049,tablet,2025-11-11,1,0.0,1,20,False,False,False
U000049_S0003,U000049,tablet,2025-11-14,2,0.0,2,206,False,False,False
U000049_S0004,U000049,desktop,2025-11-17,3,348.0,2,40,False,False,True
U000049_S0005,U000049,desktop,2025-11-18,12,16.99,9,146,True,False,False
U000049_S0006,U000049,tablet,2025-11-30,4,0.0,4,100,False,False,False
U000049_S0007,U000049,tablet,2025-12-10,6,0.0,5,60,False,False,False
U000049_S0008,U000049,desktop,2025-12-10,4,0.0,3,55,False,False,False
U000049_S0009,U000049,tablet,2025-12-13,6,-0.2,5,501,False,False,False
U000049_S0010,U000049,tablet,2025-12-14,2,0.0,1,163,False,False,False
U000052_S0001,U000052,desktop,2025-10-09,5,0.0,5,204,False,False,False
U000052_S0002,U000052,desktop,2025-10-31,3,0.0,3,101,False,False,False
U000052_S0003,U000052,desktop,2025-11-02,1,0.0,1,44,False,False,False
U000052_S0004,U000052,desktop,2025-11-17,4,0.0,4,146,False,False,False
U000052_S0005,U000052,desktop,2025-11-17,1,0.0,1,62,False,False,False
U000052_S0006,U000052,desktop,2025-11-21,2,0.0,2,11,False,False,False
U000052_S0007,U000052,desktop,2025-11-29,5,0.0,4,83,False,False,False
U000052_S0008,U000052,desktop,2025-12-01,7,0.0,6,4,False,False,False
U000052_S0009,U000052,desktop,2025-12-05,8,0.0,6,172,False,False,False
U000052_S0010,U000052,desktop,2025-12-19,10,0.0,8,141,False,False,False
U000052_S0011,U000052,desktop,2025-12-26,3,0.0,2,4,False,False,False
U000052_S0012,U000052,desktop,2025-12-27,8,0.0,8,435,False,False,False
U000053_S0001,U000053,tablet,2025-11-12,4,0.0,4,2,False,False,False
U000054_S0001,U000054,tablet,2025-12-26,10,348.0,9,364,False,False,True
U000056_S0001,U000056,desktop,2025-11-05,13,0.5,9,158,False,True,False
U000056_S0002,U000056,desktop,2025-11-13,5,0.0,4,128,False,False,False
U000056_S0003,U000056,desktop,2025-11-22,7,0.0,5,150,False,False,False
U000056_S0004,U000056,tablet,2025-12-01,5,0.0,3,553,False,False,False
U000057_S0001,U000057,mobile,2025-11-05,12,0.0,8,2,False,False,False
U000057_S0002,U000057,mobile,2025-11-12,1,0.0,1,93,False,False,False
U000057_S0003,U000057,mobile,2025-11-17,1,0.0,1,19,False,False,False
U000057_S0004,U000057,mobile,2025-11-25,1,0.0,1,76,False,False,False
U000057_S0005,U000057,desktop,2025-11-28,1,0.0,1,11,False,False,False
U000057_S0006,U000057,mobile,2025-12-04,1,0.0,1,37,False,False,False
U000057_S0007,U000057,desktop,2025-12-10,5,0.0,4,66,False,False,False
U000057_S0008,U000057,mobile,2025-12-13,2,0.0,2,106,False,False,False
U000057_S0009,U000057,mobile,2025-12-25,5,0.5,5,23,False,True,False
U000058_S0001,U000058,mobile,2025-10-12,4,0.0,4,26,False,False,False
U000058_S0002,U000058,mobile,2025-10-16,8,0.0,6,167,False,False,False
U000059_S0001,U000059,mobile,2025-11-26,3,0.0,3,62,False,False,False
U000059_S0002,U000059,mobile,2025-11-29,3,0.0,3,131,False,False,False
U000059_S0003,U000059,mobile,2025-12-19,1,0.0,1,5,False,False,False
U000059_S0004,U000059,mobile,2025-12-19,1,0.0,1,38,False,False,False
U000059_S0005,U000059,mobile,2025-12-24,3,0.0,1,148,False,False,False
U000059_S0006,U000059,mobile,2025-12-26,6,0.0,5,129,False,False,False
U000059_S0007,U000059,mobile,2025-12-28,3,0.0,3,103,False,False,False
U000060_S0001,U000060,tablet,2025-11-18,1,0.0,1,13,False,False,False
U000061_S0001,U000061,mobile,2025-12-08,4,0.0,4,56,False,False,False
U000062_S0001,U000062,mobile,2025-11-20,1,0.0,1,116,False,False,False
U000062_S0002,U000062,tablet,2025-11-27,1,0.0,1,49,False,False,False
U000062_S0003,U000062,tablet,2025-12-01,4,0.0,4,25,False,False,False
U000062_S0004,U000062,mobile,2025-12-17,1,0.0,1,49,False,False,False
U000063_S0001,U000063,mobile,2025-11-04,2,0.0,2,69,False,False,False
U000063_S0002,U000063,mobile,2025-12-04,3,0.0,3,297,False,False,False
U000063_S0003,U000063,tablet,2025-12-24,2,0.3,2,41,False,False,False
U000064_S0001,U000064,tablet,2025-10-31,5,0.0,3,28,False,False,False
U000064_S0002,U000064,mobile,2025-11-06,1,0.0,1,34,False,False,False
U000064_S0003,U000064,mobile,2025-11-09,1,0.0,1,23,False,False,False
U000064_S0004,U000064,mobile,2025-11-16,3,0.0,3,47,False,False,False
U000067_S0001,U000067,mobile,2025-11-08,1,0.0,1,22,False,False,False
U000067_S0002,U000067,mobile,2025-11-20,1,0.0,1,0,False,False,False
U000067_S0003,U000067,mobile,2025-12-14,4,0.5,4,37,False,True,False
U000068_S0001,U000068,desktop,2025-10-23,4,0.0,4,541,False,False,False
U000068_S0002,U000068,desktop,2025-10-30,12,0.0,7,321,False,False,False
U000068_S0003,U000068,desktop,2025-11-23,2,0.5,2,91,False,True,False
U000068_S0004,U000068,desktop,2025-12-21,7,80.34,7,75,True,False,False
U000069_S0001,U000069,desktop,2025-10-05,4,0.0,4,272,False,False,False
U000069_S0002,U000069,tablet,2025-11-01,4,0.0,3,83,False,False,False
U000069_S0003,U000069,tablet,2025-12-01,10,348.0,9,23,False,False,True
U000069_S0004,U000069,tablet,2025-12-09,20,587.8,11,49,False,False,True
U000069_S0005,U000069,tablet,2025-12-12,8,0.0,6,86,False,False,False
U000069_S0006,U000069,tablet,2025-12-18,2,0.0,2,78,False,False,False
U000069_S0007,U000069,tablet,2025-12-23,3,0.0,3,30,False,False,False
U000070_S0001,U000070,mobile,2025-11-21,9,0.0,6,57,False,False,False
U000070_S0002,U000070,mobile,2025-11-26,1,0.0,1,29,False,False,False
U000070_S0003,U000070,desktop,2025-11-27,4,0.0,4,112,False,False,False
U000070_S0004,U000070,desktop,2025-12-19,1,0.0,1,21,False,False,False
U000071_S0001,U000071,mobile,2025-10-19,2,0.0,2,34,False,False,False
U000071_S0002,U000071,mobile,2025-12-02,2,0.0,2,7,False,False,False
U000071_S0003,U000071,mobile,2025-12-02,13,0.0,9,727,False,False,False
U000073_S0001,U000073,mobile,2025-12-14,2,0.5,2,44,False,True,False
U000074_S0001,U000074,mobile,2025-10-21,1,0.0,1,65,False,False,False
U000074_S0002,U000074,mobile,2025-10-28,3,0.0,3,55,False,False,False
U000074_S0003,U000074,mobile,2025-11-02,1,0.0,1,7,False,False,False
U000074_S0004,U000074,mobile,2025-11-29,4,0.0,3,151,False,False,False
U000074_S0005,U000074,mobile,2025-12-01,1,0.0,1,20,False,False,False
U000075_S0001,U000075,desktop,2025-11-15,6,0.0,2,177,False,False,False
U000075_S0002,U000075,desktop,2025-11-16,2,2388.0,2,22,False,False,True
U000075_S0003,U000075,mobile,2025-11-19,3,0.0,3,28,False,False,False
U000075_S0004,U000075,tablet,2025-11-22,7,0.0,5,42,False,False,False
U000075_S0005,U000075,desktop,2025-11-23,5,0.0,4,171,False,False,False
U000075_S0006,U000075,desktop,2025-11-24,5,0.0,4,67,False,False,False
U000075_S0007,U000075,desktop,2025-12-11,7,348.0,7,98,False,False,True
U000075_S0008,U000075,tablet,2025-12-22,1,0.0,1,30,False,False,False
U000075_S0009,U000075,desktop,2025-12-29,2,0.0,2,157,False,False,False
U000076_S0001,U000076,mobile,2025-11-04,26,0.3,12,160,False,False,False
U000076_S0002,U000076,desktop,2025-11-07,5,0.5,4,167,False,True,False
U000076_S0003,U000076,mobile,2025-11-21,6,0.0,6,6,False,False,False
U000076_S0004,U000076,mobile,2025-12-10,5,0.0,5,45,False,False,False
U000076_S0005,U000076,mobile,2025-12-15,2,0.0,2,28,False,False,False
U000076_S0006,U000076,mobile,2025-12-22,18,0.0,9,1276,False,False,False
U000076_S0007,U000076,mobile,2025-12-24,2,0.0,2,44,False,False,False
U000076_S0008,U000076,mobile,2025-12-30,10,0.0,7,164,False,False,False
U000077_S0001,U000077,desktop,2025-12-04,5,0.0,4,118,False,False,False
U000078_S0001,U000078,tablet,2025-11-09,3,0.0,3,45,False,False,False
U000078_S0002,U000078,tablet,2025-12-01,8,0.0,6,109,False,False,False
U000078_S0003,U000078,tablet,2025-12-10,2,0.3,2,64,False,False,False
U000078_S0004,U000078,tablet,2025-12-18,1,0.0,1,95,False,False,False
U000079_S0001,U000079,mobile,2025-11-21,2,0.0,2,28,False,False,False
U000079_S0002,U000079,mobile,2025-12-11,7,0.0,5,17,False,False,False
U000080_S0001,U000080,mobile,2025-12-01,1,0.0,1,32,False,False,False
U000080_S0002,U000080,mobile,2025-12-08,4,0.0,4,10,False,False,False
U000082_S0001,U000082,mobile,2025-10-09,2,0.0,2,78,False,False,False
U000082_S0002,U000082,mobile,2025-10-24,1,0.0,1,50,False,False,False
U000082_S0003,U000082,mobile,2025-11-22,1,0.0,1,1,False,False,False
U000083_S0001,U000083,mobile,2025-12-16,5,0.5,5,286,False,True,False
U000083_S0002,U000083,mobile,2025-12-25,5,0.0,5,13,False,False,False
U000084_S0001,U000084,mobile,2025-11-09,8,0.0,7,240,False,False,False
U000084_S0002,U000084,mobile,2025-11-30,9,0.0,6,824,False,False,False
U000084_S0003,U000084,mobile,2025-11-30,9,43.05,7,210,True,False,False
U000084_S0004,U000084,mobile,2025-12-03,10,0.0,6,479,False,False,False
U000084_S0005,U000084,desktop,2025-12-26,23,0.0,12,528,False,False,False
U000084_S0006,U000084,mobile,2025-12-28,8,0.0,7,181,False,False,False
U000085_S0001,U000085,mobile,2025-11-26,12,0.0,8,702,False,False,False
U000086_S0001,U000086,mobile,2025-10-18,19,0.0,11,36,False,False,False
U000086_S0002,U000086,tablet,2025-11-07,1,0.0,1,0,False,False,False
U000086_S0003,U000086,mobile,2025-11-09,1,0.0,1,86,False,False,False
U000086_S0004,U000086,mobile,2025-11-15,7,0.0,6,32,False,False,False
U000087_S0001,U000087,desktop,2025-10-17,1,0.0,1,19,False,False,False
U000087_S0002,U000087,desktop,2025-11-23,1,0.0,1,50,False,False,False
U000087_S0003,U000087,desktop,2025-11-26,1,0.0,1,12,False,False,False
U000088_S0001,U000088,desktop,2025-11-30,2,0.0,2,48,False,False,False
U000088_S0002,U000088,desktop,2025-12-03,2,0.0,2,62,False,False,False
U000088_S0003,U000088,desktop,2025-12-10,12,348.0,8,804,False,False,True
U000088_S0004,U000088,desktop,2025-12-12,12,0.0,9,48,False,False,False
U000088_S0005,U000088,desktop,2025-12-16,16,0.0,8,120,False,False,False
U000089_S0001,U000089,mobile,2025-11-27,5,0.3,3,101,False,False,False
U000089_S0002,U000089,mobile,2025-12-29,6,0.0,5,103,False,False,False
U000091_S0001,U000091,desktop,2025-12-08,2,0.0,1,55,False,False,False
U000092_S0001,U000092,mobile,2025-10-03,7,0.0,7,74,False,False,False
U000092_S0002,U000092,mobile,2025-10-25,9,0.0,5,2,False,False,False
U000093_S0001,U000093,desktop,2025-12-18,2,0.0,2,160,False,False,False
U000094_S0001,U000094,desktop,2025-10-22,2,0.0,2,67,False,False,False
U000094_S0002,U000094,desktop,2025-12-06,5,0.0,4,296,False,False,False
U000094_S0003,U000094,desktop,2025-12-25,2,0.0,2,14,False,False,False
U000095_S0001,U000095,mobile,2025-10-18,1,0.0,1,31,False,False,False
U000095_S0002,U000095,mobile,2025-10-30,10,0.0,7,389,False,False,False
U000095_S0003,U000095,mobile,2025-11-30,9,0.5,8,130,False,True,False
U000095_S0004,U000095,mobile,2025-12-13,3,0.0,2,106,False,False,False
U000095_S0005,U000095,mobile,2025-12-14,4,0.0,3,57,False,False,False
U000095_S0006,U000095,mobile,2025-12-19,3,0.0,3,164,False,False,False
U000096_S0001,U000096,desktop,2025-11-21,3,0.0,3,44,False,False,False
U000097_S0001,U000097,mobile,2025-10-22,10,0.0,7,273,False,False,False
U000097_S0002,U000097,mobile,2025-11-15,6,0.0,4,267,False,False,False
U000098_S0001,U000098,tablet,2025-12-04,1,0.0,1,3,False,False,False
U000098_S0002,U000098,desktop,2025-12-06,2,0.0,2,50,False,False,False
U000099_S0001,U000099,desktop,2025-10-24,2,0.0,2,30,False,False,False
U000099_S0002,U000099,desktop,2025-12-01,2,0.3,2,152,False,False,False
U000099_S0003,U000099,desktop,2025-12-07,3,0.0,3,71,False,False,False
U000099_S0004,U000099,desktop,2025-12-12,3,0.0,2,38,False,False,False
U000099_S0005,U000099,tablet,2025-12-21,10,0.0,7,116,False,False,False
U000099_S0006,U000099,desktop,2025-12-27,3,0.0,3,105,False,False,False
U000100_S0001,U000100,mobile,2025-10-20,3,0.0,2,41,False,False,False
U000100_S0002,U000100,mobile,2025-10-22,4,0.0,3,20,False,False,False
U000100_S0003,U000100,mobile,2025-10-28,2,0.0,2,16,False,False,False
U000100_S0004,U000100,mobile,2025-12-13,4,0.0,3,294,False,False,False
U000100_S0005,U000100,mobile,2025-12-28,1,0.0,1,11,False,False,False
U000102_S0001,U000102,mobile,2025-12-11,2,0.0,2,101,False,False,False
U000103_S0001,U000103,desktop,2025-10-28,2,0.0,2,79,False,False,False
U000103_S0002,U000103,desktop,2025-11-05,8,0.0,6,216,False,False,False
U000103_S0003,U000103,desktop,2025-11-07,8,0.0,6,816,False,False,False
U000103_S0004,U000103,desktop,2025-11-09,4,0.0,4,128,False,False,False
U000103_S0005,U000103,desktop,2025-11-17,2,0.0,2,22,False,False,False
U000103_S0006,U000103,mobile,2025-12-13,1,0.0,1,3,False,False,False
U000103_S0007,U000103,desktop,2025-12-27,6,0.0,6,374,False,False,False
U000104_S0001,U000104,mobile,2025-11-23,1,0.0,1,22,False,False,False
U000104_S0002,U000104,mobile,2025-12-21,2,0.0,2,59,False,False,False
U000106_S0001,U000106,mobile,2025-10-12,2,0.0,2,19,False,False,False
U000106_S0002,U000106,mobile,2025-10-14,3,0.0,3,216,False,False,False
U000106_S0003,U000106,mobile,2025-12-11,5,0.0,5,100,False,False,False
