user_id,signup_date,acquisition_channel,primary_device,country,plan,quality_score,age_group
U000049,2025-10-29,paid_search,tablet,IN,starter,0.498,25-34
U000050,2025-12-29,referral,desktop,UK,starter,0.089,55+
U000051,2025-12-29,paid_social,desktop,JP,pro,0.158,35-44
U000052,2025-10-08,email,desktop,US,starter,0.398,45-54
U000053,2025-10-25,paid_social,desktop,UK,free,0.242,18-24
U000054,2025-10-13,paid_social,mobile,UK,free,0.174,35-44
U000055,2025-11-29,direct,mobile,BR,free,0.061,25-34
U000056,2025-10-31,organic,mobile,US,pro,0.428,25-34
U000057,2025-11-03,organic,mobile,US,free,0.254,25-34
U000058,2025-10-07,paid_search,mobile,FR,free,0.151,25-34
U000059,2025-11-19,email,mobile,US,starter,0.516,35-44
U000060,2025-10-02,paid_search,desktop,BR,starter,0.562,25-34
U000061,2025-10-10,paid_search,mobile,US,free,0.263,35-44
U000062,2025-11-16,paid_social,mobile,CA,free,0.432,25-34
U000063,2025-11-01,paid_social,mobile,MX,free,0.068,25-34
U000064,2025-10-07,paid_search,mobile,BR,free,0.359,25-34
U000065,2025-12-29,direct,desktop,US,starter,0.457,25-34
U000066,2025-11-14,organic,mobile,UK,free,0.064,35-44
U000067,2025-10-06,paid_social,mobile,US,free,0.168,45-54
U000068,2025-10-09,email,desktop,CA,starter,0.024,55+
U000069,2025-10-04,email,tablet,US,free,0.291,45-54
U000070,2025-10-07,organic,mobile,IN,free,0.162,45-54
U000071,2025-10-18,paid_search,mobile,US,free,0.154,35-44
U000072,2025-12-11,email,mobile,JP,free,0.049,35-44
U000073,2025-12-07,referral,mobile,US,pro,0.495,45-54
U000074,2025-10-13,referral,mobile,IN,free,0.32,35-44
U000075,2025-11-08,email,desktop,CA,free,0.258,25-34
U000076,2025-10-19,direct,mobile,CA,pro,0.594,35-44
U000077,2025-11-05,direct,desktop,US,pro,0.4,45-54
U000078,2025-10-18,organic,tablet,IN,free,0.189,25-34
U000079,2025-11-18,organic,mobile,US,starter,0.381,25-34
U000080,2025-10-08,paid_social,mobile,US,free,0.139,25-34
U000081,2025-12-29,organic,mobile,US,starter,0.616,45-54
U000082,2025-10-07,organic,mobile,UK,free,0.156,25-34
U000083,2025-10-16,paid_social,mobile,US,free,0.119,25-34
U000084,2025-11-07,email,mobile,US,pro,0.514,25-34
U000085,2025-11-01,organic,mobile,US,starter,0.327,25-34
U000086,2025-10-11,direct,mobile,US,pro,0.464,25-34
U000087,2025-10-10,paid_search,desktop,US,free,0.05,55+
U000088,2025-11-13,organic,desktop,UK,free,0.267,35-44
U000089,2025-10-31,paid_search,mobile,IN,free,0.236,45-54
U000090,2025-10-04,paid_social,mobile,CA,free,0.37,45-54
U000091,2025-12-02,paid_social,desktop,DE,free,0.091,35-44
U000092,2025-10-03,email,mobile,US,free,0.241,25-34
U000093,2025-11-02,direct,desktop,US,free,0.172,35-44
U000094,2025-10-04,organic,desktop,UK,starter,0.091,35-44
U000095,2025-10-10,paid_social,mobile,US,starter,0.204,35-44
U000096,2025-11-19,email,desktop,IN,free,0.218,45-54
U000097,2025-10-02,email,mobile,BR,starter,0.298,25-34
U000098,2025-11-22,organic,desktop,US,starter,0.344,18-24
U000099,2025-10-12,paid_social,desktop,US,free,0.176,45-54
U000100,2025-10-01,direct,mobile,JP,starter,0.46,45-54
U000101,2025-12-29,referral,mobile,UK,free,0.526,25-34
U000102,2025-10-08,organic,mobile,MX,starter,0.13,45-54
U000103,2025-10-03,paid_search,desktop,JP,free,0.205,55+
U000104,2025-11-01,email,mobile,US,free,0.391,18-24
U000105,2025-12-29,direct,desktop,MX,free,0.11,45-54
U000106,2025-10-08,organic,mobile,CA,pro,0.23,45-54
U000107,2025-11-19,email,desktop,US,starter,0.348,18-24
U000108,2025-10-08,email,mobile,IN,free,0.066,35-44
U000109,2025-10-26,paid_search,desktop,AU,free,0.138,35-44
U000110,2025-11-11,organic,desktop,IN,starter,0.358,25-34
U000111,2025-11-21,referral,mobile,US,free,0.268,35-44
U000112,2025-10-24,referral,mobile,AU,starter,0.279,18-24
U000113,2025-12-23,email,mobile,US,free,0.293,18-24
U000114,2025-12-01,direct,tablet,AU,free,0.093,25-34
U000115,2025-12-29,paid_search,mobile,US,starter,0.362,35-44
U000116,2025-10-10,direct,mobile,UK,free,0.218,55+
U000117,2025-10-16,direct,mobile,US,free,0.205,55+
U000118,2025-10-07,direct,desktop,AU,free,0.41,45-54
U000119,2025-10-29,referral,mobile,US,starter,0.546,18-24
U000120,2025-10-27,paid_search,desktop,US,free,0.582,35-44
U000121,2025-11-29,referral,mobile,UK,free,0.018,35-44
U000122,2025-10-01,paid_search,mobile,US,free,0.169,45-54
U000123,2025-10-07,organic,mobile,DE,starter,0.217,35-44
U000124,2025-11-18,paid_search,desktop,US,free,0.106,35-44
U000125,2025-11-09,organic,mobile,US,free,0.326,25-34
U000126,2025-11-16,email,mobile,CA,starter,0.324,18-24
U000127,2025-10-01,paid_search,mobile,IN,free,0.331,55+
U000128,2025-10-02,direct,desktop,UK,starter,0.385,25-34
U000129,2025-10-27,direct,mobile,DE,pro,0.32,25-34
U000130,2025-10-09,direct,mobile,IN,free,0.273,25-34
U000131,2025-10-27,organic,mobile,JP,free,0.34,55+
U000132,2025-10-19,organic,mobile,US,free,0.338,35-44
U000133,2025-11-06,organic,mobile,US,starter,0.217,35-44
U000134,2025-11-30,organic,mobile,US,free,0.485,25-34
U000135,2025-12-21,paid_search,mobile,US,free,0.2,25-34
U000136,2025-11-02,organic,mobile,US,free,0.26,35-44
U000137,2025-10-18,direct,mobile,FR,free,0.114,45-54
U000138,2025-10-26,organic,tablet,FR,free,0.261,18-24
U000139,2025-11-02,direct,mobile,MX,free,0.098,45-54
U000140,2025-10-16,paid_search,desktop,IN,free,0.359,35-44
U000141,2025-10-01,paid_search,mobile,US,free,0.594,25-34
U000142,2025-10-03,email,desktop,DE,free,0.02,18-24
U000143,2025-10-13,paid_search,mobile,CA,free,0.133,55+
U000144,2025-10-01,organic,mobile,DE,pro,0.339,25-34
U000145,2025-10-04,paid_social,mobile,US,free,0.239,35-44
U000146,2025-10-10,paid_search,mobile,US,free,0.461,35-44
U000147,2025-10-09,direct,mobile,IN,free,0.087,45-54
U000148,2025-12-04,organic,mobile,DE,free,0.322,45-54
U000149,2025-10-17,email,mobile,DE,starter,0.266,25-34
U000150,2025-10-04,organic,desktop,DE,starter,0.371,55+
U000151,2025-10-05,email,mobile,UK,free,0.07,18-24
U000152,2025-12-07,organic,mobile,US,pro,0.502,25-34
U000153,2025-10-24,direct,desktop,CA,free,0.098,35-44
U000154,2025-11-09,paid_social,mobile,CA,free,0.084,18-24
U000155,2025-10-18,referral,mobile,DE,starter,0.216,35-44
U000156,2025-11-25,paid_social,desktop,US,free,0.206,18-24
U000157,2025-10-11,paid_search,mobile,US,starter,0.462,35-44
U000158,2025-10-22,direct,mobile,MX,pro,0.332,45-54
U000159,2025-11-19,referral,mobile,US,pro,0.207,35-44
U000160,2025-11-21,organic,desktop,BR,free,0.083,25-34
U000161,2025-10-05,paid_search,mobile,US,starter,0.343,25-34
U000162,2025-10-22,paid_search,mobile,DE,free,0.217,45-54
U000163,2025-10-19,organic,tablet,US,free,0.522,35-44
U000164,2025-12-29,referral,desktop,US,pro,0.557,25-34
U000165,2025-10-07,paid_search,mobile,IN,free,0.475,35-44
U000166,2025-10-05,paid_social,mobile,US,free,0.013,25-34
U000167,2025-11-25,organic,mobile,US,free,0.37,25-34
U000168,2025-11-16,direct,tablet,AU,pro,0.59,18-24
U000169,2025-12-09,paid_social,desktop,DE,starter,0.397,25-34
U000170,2025-11-10,paid_social,desktop,US,free,0.54,55+
U000171,2025-11-10,paid_search,mobile,US,free,0.411,35-44
U000172,2025-11-13,paid_search,mobile,US,free,0.256,25-34
U000173,2025-10-04,email,desktop,DE,free,0.203,35-44
U000174,2025-11-11,referral,desktop,US,starter,0.535,55+
U000175,2025-10-09,organic,mobile,BR,starter,0.028,45-54
U000176,2025-10-09,referral,mobile,IN,free,0.14,55+
U000177,2025-12-23,organic,mobile,US,pro,0.505,35-44
U000178,2025-10-24,paid_social,mobile,US,starter,0.282,25-34
U000179,2025-10-19,organic,mobile,FR,free,0.343,35-44
U000180,2025-11-09,email,mobile,US,free,0.153,35-44
U000181,2025-10-07,direct,mobile,US,free,0.208,25-34
U000182,2025-11-08,direct,desktop,US,free,0.371,35-44
U000183,2025-10-20,email,mobile,CA,starter,0.267,25-34
U000184,2025-11-22,paid_social,mobile,US,starter,0.373,25-34
U000185,2025-10-05,paid_search,mobile,US,starter,0.344,25-34
U000186,2025-10-31,referral,mobile,UK,free,0.142,25-34
U000187,2025-10-13,organic,mobile,IN,free,0.508,25-34
U000188,2025-12-01,referral,mobile,IN,starter,0.413,25-34
U000189,2025-10-18,email,desktop,US,pro,0.113,18-24
U000190,2025-10-02,paid_search,mobile,US,free,0.202,35-44
U000191,2025-10-03,paid_social,mobile,US,free,0.013,35-44
U000192,2025-12-29,paid_social,tablet,US,free,0.089,35-44
U000193,2025-10-07,paid_social,mobile,MX,free,0.041,25-34
U000194,2025-11-27,paid_social,mobile,US,free,0.265,18-24
U000195,2025-10-19,paid_social,mobile,JP,free,0.25,35-44
U000196,2025-10-02,paid_social,desktop,UK,starter,0.235,35-44
U000197,2025-10-07,direct,desktop,IN,free,0.393,18-24
U000198,2025-10-19,direct,mobile,UK,pro,0.393,55+
U000199,2025-10-07,paid_social,mobile,AU,pro,0.423,35-44
U000200,2025-10-06,email,desktop,US,free,0.248,25-34
U000201,2025-10-18,email,mobile,BR,pro,0.168,35-44
U000202,2025-10-31,organic,desktop,UK,free,0.225,35-44
U000203,2025-10-07,direct,desktop,CA,free,0.082,25-34
U000204,2025-10-21,referral,mobile,US,free,0.336,25-34
U000205,2025-10-18,email,desktop,DE,starter,0.466,18-24
U000206,2025-11-03,paid_search,desktop,US,free,0.333,35-44
U000207,2025-11-05,paid_social,mobile,US,pro,0.323,35-44
U000208,2025-10-10,direct,desktop,CA,starter,0.344,25-34
U000209,2025-12-29,organic,mobile,US,free,0.295,45-54
U000210,2025-11-12,referral,mobile,JP,starter,0.089,18-24
U000211,2025-11-06,paid_social,mobile,US,free,0.289,25-34
U000212,2025-11-10,organic,desktop,IN,free,0.255,25-34
U000213,2025-11-17,organic,desktop,MX,free,0.187,18-24
U000214,2025-10-03,direct,desktop,IN,free,0.211,25-34
U000215,2025-11-14,email,desktop,UK,free,0.368,35-44
U000216,2025-10-04,paid_search,mobile,DE,free,0.235,18-24
U000217,2025-10-09,paid_search,mobile,US,free,0.261,25-34
U000218,2025-10-29,paid_search,mobile,UK,free,0.287,25-34
U000219,2025-12-20,paid_search,mobile,DE,free,0.29,35-44
U000220,2025-12-29,organic,mobile,US,free,0.112,25-34
U000221,2025-11-22,direct,desktop,US,free,0.183,35-44
U000222,2025-10-04,paid_search,mobile,US,free,0.331,25-34
U000223,2025-12-25,email,desktop,US,free,0.247,45-54
U000224,2025-11-08,organic,desktop,US,free,0.106,25-34
U000225,2025-10-26,organic,mobile,CA,starter,0.562,25-34
U000226,2025-11-03,paid_search,mobile,AU,pro,0.502,25-34
U000227,2025-10-12,paid_social,mobile,DE,starter,0.31,18-24
U000228,2025-12-06,paid_search,mobile,US,starter,0.323,25-34
U000229,2025-11-03,email,mobile,US,free,0.236,18-24
U000230,2025-10-22,direct,mobile,US,starter,0.284,25-34
U000231,2025-10-11,direct,mobile,JP,enterprise,0.407,25-34
U000232,2025-12-29,paid_search,mobile,US,starter,0.1,45-54
U000233,2025-10-18,paid_search,mobile,US,free,0.282,25-34
U000234,2025-10-27,organic,mobile,DE,free,0.151,25-34
U000235,2025-10-02,paid_social,mobile,US,free,0.26,45-54
U000236,2025-10-04,referral,mobile,IN,starter,0.324,25-34
U000237,2025-10-11,organic,desktop,US,pro,0.01,25-34
U000238,2025-11-22,referral,desktop,JP,starter,0.247,45-54
U000239,2025-10-02,direct,mobile,UK,starter,0.343,35-44
U000240,2025-11-05,organic,mobile,US,free,0.126,55+
U000241,2025-11-03,referral,mobile,US,pro,0.322,35-44
U000242,2025-11-02,referral,desktop,DE,starter,0.352,18-24
U000243,2025-10-13,organic,desktop,JP,starter,0.041,35-44
U000244,2025-10-02,organic,mobile,US,free,0.227,45-54
U000245,2025-10-12,paid_social,mobile,DE,free,0.248,45-54
U000246,2025-10-21,paid_search,desktop,DE,pro,0.346,45-54
U000247,2025-10-25,paid_social,mobile,AU,starter,0.477,18-24
U000248,2025-11-11,paid_search,mobile,UK,free,0.203,35-44
U000249,2025-10-12,organic,mobile,US,free,0.141,45-54
U000250,2025-10-15,direct,mobile,FR,free,0.019,25-34
U000251,2025-11-07,email,tablet,AU,starter,0.259,35-44
U000252,2025-10-02,paid_search,tablet,UK,free,0.247,18-24
U000253,2025-11-13,paid_search,desktop,IN,free,0.499,35-44
U000254,2025-10-29,paid_search,mobile,DE,free,0.093,25-34
U000255,2025-12-06,paid_search,mobile,US,free,0.379,25-34
U000256,2025-10-13,organic,mobile,UK,free,0.015,25-34
U000257,2025-12-29,paid_social,desktop,US,free,0.302,18-24
U000258,2025-11-14,referral,mobile,US,free,0.169,25-34
U000259,2025-11-01,direct,desktop,US,free,0.267,25-34
U000260,2025-10-03,organic,mobile,UK,starter,0.135,45-54
U000261,2025-12-29,paid_social,tablet,US,free,0.129,45-54
U000262,2025-10-26,organic,desktop,DE,enterprise,0.624,25-34
U000263,2025-10-20,direct,desktop,US,free,0.069,25-34
U000264,2025-10-21,email,mobile,US,free,0.148,25-34
U000265,2025-10-18,organic,mobile,IN,pro,0.162,55+
U000266,2025-11-07,direct,desktop,US,enterprise,0.719,25-34
U000267,2025-11-17,direct,tablet,JP,starter,0.326,35-44
U000268,2025-10-09,email,desktop,US,free,0.446,25-34
U000269,2025-12-18,organic,desktop,US,starter,0.451,18-24
U000270,2025-10-20,email,mobile,US,pro,0.397,25-34
U000271,2025-10-15,referral,desktop,JP,free,0.031,25-34
U000272,2025-11-02,organic,mobile,BR,free,0.368,25-34
U000273,2025-11-30,paid_search,tablet,CA,starter,0.738,25-34
U000274,2025-12-07,direct,desktop,UK,free,0.147,25-34
U000275,2025-10-13,direct,mobile,US,free,0.197,25-34
U000276,2025-12-02,paid_social,mobile,UK,free,0.104,35-44
U000277,2025-10-02,direct,mobile,US,starter,0.15,25-34
U000278,2025-10-11,paid_search,desktop,IN,pro,0.081,35-44
U000279,2025-10-15,paid_social,desktop,US,starter,0.306,55+
U000280,2025-10-02,paid_search,desktop,US,starter,0.385,25-34
U000281,2025-12-21,referral,desktop,FR,starter,0.28,25-34
U000282,2025-11-19,organic,mobile,US,free,0.297,55+
U000283,2025-10-21,paid_search,mobile,AU,free,0.416,35-44
U000284,2025-12-29,paid_search,mobile,FR,free,0.213,35-44
U000285,2025-11-29,organic,desktop,CA,pro,0.318,35-44
U000286,2025-11-17,paid_search,desktop,CA,free,0.167,25-34
U000287,2025-10-14,email,mobile,FR,free,0.34,18-24
U000288,2025-10-15,direct,desktop,DE,free,0.069,25-34
U000289,2025-10-10,paid_search,tablet,US,free,0.102,25-34
U000290,2025-10-13,paid_search,mobile,US,pro,0.2,35-44
U000291,2025-10-03,organic,tablet,US,free,0.068,18-24
U000292,2025-12-29,paid_search,desktop,FR,enterprise,0.607,55+
U000293,2025-10-04,organic,tablet,FR,free,0.117,25-34
U000294,2025-10-01,paid_social,mobile,UK,free,0.059,55+
U000295,2025-10-04,organic,mobile,US,free,0.225,35-44
U000296,2025-10-01,paid_social,desktop,DE,pro,0.448,35-44
U000297,2025-10-01,organic,mobile,US,starter,0.31,35-44
U000298,2025-10-03,direct,desktop,IN,free,0.157,35-44
U000299,2025-11-10,paid_social,mobile,US,free,0.276,45-54
U000300,2025-11-02,referral,mobile,DE,pro,0.667,55+
U000301,2025-10-02,referral,mobile,UK,starter,0.515,45-54
U000302,2025-10-04,referral,mobile,DE,free,0.05,35-44
U000303,2025-12-04,referral,desktop,US,starter,0.331,25-34
U000304,2025-10-14,referral,desktop,US,free,0.156,55+
U000305,2025-12-02,organic,mobile,CA,starter,0.279,45-54
U000306,2025-11-11,paid_search,desktop,US,free,0.178,25-34
U000307,2025-10-01,email,desktop,UK,free,0.183,35-44
U000308,2025-10-29,organic,mobile,US,free,0.066,35-44
U000309,2025-11-05,email,mobile,UK,free,0.529,35-44
U000310,2025-10-04,paid_search,mobile,FR,starter,0.318,25-34
U000311,2025-10-01,referral,mobile,UK,free,0.138,35-44
U000312,2025-10-24,referral,desktop,IN,free,0.308,45-54
U000313,2025-12-04,paid_social,mobile,US,starter,0.177,25-34
U000314,2025-10-24,direct,mobile,DE,enterprise,0.183,35-44
U000315,2025-10-12,organic,mobile,US,free,0.242,35-44
U000316,2025-10-01,organic,desktop,UK,free,0.021,35-44
U000317,2025-10-27,referral,desktop,IN,starter,0.324,25-34
U000318,2025-10-07,direct,desktop,BR,free,0.077,35-44
U000319,2025-10-06,paid_social,desktop,US,starter,0.564,45-54
U000320,2025-10-22,organic,mobile,FR,free,0.126,35-44
U000321,2025-10-10,direct,desktop,US,starter,0.357,25-34
U000322,2025-11-02,referral,desktop,AU,free,0.12,18-24
U000323,2025-10-10,organic,desktop,US,starter,0.179,45-54
U000324,2025-10-12,direct,tablet,IN,free,0.19,55+
U000325,2025-10-12,email,desktop,IN,starter,0.138,35-44
U000326,2025-10-12,email,mobile,US,starter,0.242,35-44
U000327,2025-10-25,email,desktop,CA,free,0.283,25-34
U000328,2025-10-08,paid_social,desktop,BR,free,0.262,25-34
U000329,2025-11-03,email,mobile,JP,free,0.23,25-34
U000330,2025-10-06,email,desktop,US,free,0.138,18-24
U000331,2025-11-15,email,desktop,IN,free,0.184,25-34
U000332,2025-10-26,paid_search,desktop,CA,starter,0.401,18-24
U000333,2025-10-29,direct,desktop,DE,starter,0.194,55+
U000334,2025-10-01,direct,desktop,MX,starter,0.186,45-54
U000335,2025-12-23,organic,mobile,US,free,0.249,25-34
U000336,2025-10-05,direct,desktop,JP,free,0.05,25-34
U000337,2025-10-05,paid_search,mobile,DE,free,0.137,45-54
U000338,2025-10-06,organic,mobile,US,free,0.21,18-24
U000339,2025-10-30,paid_search,mobile,US,free,0.231,25-34
U000340,2025-11-08,paid_social,desktop,AU,pro,0.159,45-54
U000341,2025-10-14,organic,mobile,AU,starter,0.026,25-34
U000342,2025-10-12,paid_social,desktop,US,free,0.136,25-34
U000343,2025-10-25,paid_search,desktop,US,free,0.576,45-54
U000344,2025-10-11,direct,tablet,CA,free,0.093,35-44
U000345,2025-11-25,referral,mobile,DE,free,0.163,18-24
U000346,2025-12-01,referral,desktop,AU,starter,0.472,45-54
U000347,2025-10-02,paid_search,mobile,US,free,0.438,25-34
U000348,2025-10-17,paid_social,tablet,AU,free,0.038,25-34
U000349,2025-10-22,email,desktop,UK,starter,0.603,18-24
U000350,2025-10-18,organic,mobile,FR,starter,0.706,45-54
U000351,2025-10-15,referral,mobile,AU,free,0.31,18-24
U000352,2025-10-01,referral,mobile,AU,starter,0.558,55+
U000353,2025-10-10,email,desktop,US,enterprise,0.346,18-24
U000354,2025-11-07,email,desktop,MX,free,0.481,25-34
U000355,2025-11-23,direct,mobile,US,pro,0.204,25-34
U000356,2025-10-21,organic,mobile,DE,starter,0.092,35-44
U000357,2025-10-02,organic,mobile,DE,pro,0.392,25-34
U000358,2025-11-05,paid_search,mobile,US,free,0.15,35-44
U000359,2025-10-11,paid_social,mobile,CA,free,0.164,35-44
U000360,2025-12-20,referral,desktop,DE,pro,0.484,45-54
U000361,2025-10-04,paid_social,mobile,US,free,0.075,35-44
U000362,2025-10-04,organic,desktop,US,free,0.611,35-44
U000363,2025-10-19,organic,desktop,US,free,0.096,25-34
U000364,2025-10-14,referral,mobile,US,free,0.35,25-34
U000365,2025-11-19,referral,mobile,UK,free,0.006,25-34
U000366,2025-10-16,organic,desktop,MX,free,0.369,35-44
U000367,2025-12-23,email,mobile,US,free,0.199,25-34
U000368,2025-10-09,organic,mobile,UK,free,0.262,25-34
U000369,2025-11-22,organic,mobile,US,starter,0.481,55+
U000370,2025-10-08,direct,tablet,BR,starter,0.466,35-44
U000371,2025-10-17,email,desktop,US,free,0.39,45-54
U000372,2025-10-09,referral,mobile,UK,free,0.516,18-24
U000373,2025-12-29,direct,mobile,FR,free,0.281,45-54
U000374,2025-10-10,direct,mobile,DE,free,0.438,35-44
U000375,2025-10-08,paid_search,mobile,UK,pro,0.35,18-24
U000376,2025-10-15,organic,mobile,DE,starter,0.128,55+
U000377,2025-10-05,organic,desktop,BR,starter,0.378,18-24
U000378,2025-11-16,paid_search,mobile,CA,starter,0.458,25-34
U000379,2025-12-10,paid_search,mobile,US,free,0.289,45-54
U000380,2025-12-19,organic,mobile,US,starter,0.75,35-44
U000381,2025-10-06,paid_social,desktop,AU,free,0.247,35-44
U000382,2025-10-02,organic,mobile,FR,starter,0.281,25-34
U000383,2025-10-08,paid_search,mobile,DE,free,0.288,35-44
U000384,2025-10-14,email,mobile,US,free,0.262,25-34
U000385,2025-10-29,paid_search,mobile,US,starter,0.577,45-54
U000386,2025-10-25,referral,mobile,IN,free,0.442,45-54
U000387,2025-10-04,organic,tablet,DE,free,0.108,35-44
U000388,2025-10-26,paid_search,mobile,AU,free,0.17,25-34
U000389,2025-10-02,organic,desktop,IN,pro,0.482,25-34
U000390,2025-10-19,organic,mobile,US,free,0.587,25-34
U000391,2025-11-02,direct,mobile,BR,free,0.542,35-44
U000392,2025-10-13,direct,mobile,US,enterprise,0.629,45-54
U000393,2025-11-03,email,tablet,US,free,0.072,35-44
U000394,2025-10-01,email,mobile,DE,starter,0.231,45-54
U000395,2025-11-01,organic,mobile,FR,free,0.293,35-44
U000396,2025-11-27,direct,desktop,UK,starter,0.747,25-34
U000397,2025-10-03,paid_search,mobile,US,enterprise,0.267,35-44
U000398,2025-11-20,paid_search,mobile,UK,free,0.071,35-44
U000399,2025-11-05,email,desktop,IN,free,0.524,25-34
U000400,2025-10-18,email,desktop,US,free,0.359,18-24
U000401,2025-10-04,paid_social,mobile,US,starter,0.38,25-34
U000402,2025-10-12,email,desktop,IN,starter,0.437,25-34
U000403,2025-11-06,paid_social,mobile,BR,starter,0.078,25-34
U000404,2025-10-16,direct,mobile,US,free,0.321,35-44
U000405,2025-10-06,email,tablet,UK,free,0.234,25-34
U000406,2025-11-02,paid_search,desktop,US,starter,0.311,35-44
U000407,2025-10-16,paid_search,mobile,US,starter,0.425,35-44
U000408,2025-12-01,paid_social,mobile,IN,free,0.145,25-34
U000409,2025-10-05,organic,mobile,CA,free,0.217,35-44
U000410,2025-11-22,referral,mobile,JP,enterprise,0.353,18-24
U000411,2025-12-29,organic,desktop,US,free,0.363,35-44
U000412,2025-12-09,paid_search,mobile,UK,free,0.125,45-54
U000413,2025-10-25,referral,desktop,AU,free,0.278,25-34
U000414,2025-10-30,paid_social,mobile,US,free,0.237,18-24
U000415,2025-10-18,organic,mobile,US,starter,0.515,25-34
U000416,2025-11-24,organic,mobile,US,free,0.1,55+
U000417,2025-10-02,organic,mobile,US,pro,0.59,25-34
U000418,2025-10-03,organic,mobile,US,starter,0.36,55+
U000419,2025-10-05,paid_search,desktop,US,free,0.061,25-34
U000420,2025-10-01,paid_search,mobile,US,free,0.321,25-34
U000421,2025-10-04,organic,desktop,DE,free,0.287,25-34
U000422,2025-11-15,direct,mobile,IN,enterprise,0.305,25-34
U000423,2025-11-18,paid_search,desktop,UK,free,0.073,35-44
U000424,2025-10-05,paid_search,mobile,UK,free,0.451,55+
U000425,2025-12-03,direct,tablet,US,free,0.529,35-44
U000426,2025-10-26,organic,mobile,CA,free,0.489,45-54
U000427,2025-10-25,paid_search,desktop,CA,free,0.115,25-34
U000428,2025-10-17,paid_social,mobile,US,free,0.718,35-44
U000429,2025-12-25,organic,mobile,US,pro,0.545,25-34
U000430,2025-10-01,direct,desktop,BR,pro,0.479,35-44
U000431,2025-10-06,paid_search,mobile,US,free,0.268,18-24
U000432,2025-10-03,organic,mobile,US,starter,0.339,35-44
U000433,2025-11-18,direct,mobile,US,free,0.094,55+
U000434,2025-12-29,email,mobile,IN,free,0.068,18-24
U000435,2025-11-28,paid_social,desktop,US,free,0.304,55+
U000436,2025-11-01,direct,mobile,AU,starter,0.551,35-44
U000437,2025-10-07,paid_social,mobile,UK,free,0.301,25-34
U000438,2025-11-15,direct,mobile,AU,free,0.419,25-34
U000439,2025-10-02,paid_social,mobile,US,starter,0.295,45-54
U000440,2025-11-13,organic,desktop,JP,free,0.295,18-24
U000441,2025-10-12,referral,desktop,US,enterprise,0.604,25-34
U000442,2025-11-28,organic,desktop,AU,free,0.08,35-44
